Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
MX Mechanical Mini for Mac Combo,https://www.logitech.com/en-us/products/combos/mx-mechanical-mini-master-3s-mac.html,ex:prod048,price,21999.00,schema:price,currency,USD,schema:priceCurrency,color,Pale Gray,schema:color,sku,mac-mmini3s,schema:sku,model,MX Mechanical Mini for Mac Combo - Pale Gray - English,schema:model
Wave Keys for Mac + Lift for Mac,https://www.logitech.com/en-us/products/combos/wave-keys-lift-mac.html,ex:prod049,price,11499.00,schema:price,currency,USD,schema:priceCurrency,color,Off-white,schema:color,sku,mac-wklift,schema:sku,model,Wave Keys for Mac + Lift for Mac - Off-white - English,schema:model
MX Keys S Combo for Mac,https://www.logitech.com/en-us/products/combos/mx-keys-s-combo-for-mac.html,ex:prod050,price,19999.00,schema:price,currency,USD,schema:priceCurrency,color,Space Gray,schema:color,sku,920-012592,schema:sku,model,MX Keys S Combo for Mac - Space Gray - English,schema:model
Signature Slim Combo MK955 for Business | Copilot Edition,https://www.logitech.com/en-us/products/combos/signature-slim-mk955-for-business-copilot-edition.html,ex:prod051,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-013271,schema:sku,model,Signature Slim Combo MK955 for Business | Copilot Edition - Signature Slim Combo MK955 for Business | Copilot Edition - Graphite - English,schema:model
POP Icon Combo,https://www.logitech.com/en-us/products/combos/pop-icon-combo.html,ex:prod052,price,6999.00,schema:price,currency,USD,schema:priceCurrency,color,Rose & Off White,schema:color,sku,920-013105,schema:sku,model,POP Icon Combo - Rose & Off White - English,schema:model
Signature Slim Wired Combo MK625 for Business,https://www.logitech.com/en-us/products/combos/mk625-business.html,ex:prod053,price,6999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-013303,schema:sku,model,Signature Slim Wired Combo MK625 for Business - Signature Slim Wired Combo MK625 for Business - Graphite - English,schema:model
Combo Touch for iPad Air,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-air.html,ex:prod054,price,22999.00,schema:price,currency,USD,schema:priceCurrency,color,Oxford Grey,schema:color,sku,920-012608,schema:sku,model,Combo Touch for iPad Air - Oxford Grey - English,schema:model
Combo Touch for iPad Pro,https://www.logitech.com/en-us/products/ipad-keyboards/combo-touch-ipad-pro.html,ex:prod055,price,25999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,920-012658,schema:sku,model,Combo Touch for iPad Pro - Graphite - English,schema:model
CRAYON (USB-C) TIP COVER,https://www.logitech.com/en-us/products/ipad-accessories/crayon-replacement-tip-usb-c.html,ex:prod056,price,499.00,schema:price,currency,USD,schema:priceCurrency,color,Silver,schema:color,sku,951-000051,schema:sku,model,CRAYON (USB-C) TIP COVER - Silver,schema:model
Keys-To-Go 2,https://www.logitech.com/en-us/products/tablet-keyboards/keys-to-go2-universal.html,ex:prod057,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Pale Gray,schema:color,sku,920-012919,schema:sku,model,Keys-To-Go 2 - Pale Gray - English,schema:model
